sentence:wo na sirPa ApakI AzKoM kI roSanI behawara ho sakawI hE।,filename:2.100,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:ho,p_pos:VERB,c_id:2,c_word:na,c_pos:PART,gc_id:3,gc_word:para,gc_pos:ADP,gc_rel:mark
sentence:balki Apa newrarogoM se BI bace raheMge।,filename:2.101,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:6,p_word:bace,p_pos:VERB,c_id:3,c_word:newrarogoM,c_pos:NOUN,gc_id:4,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:14,p_word:baDZAne,p_pos:VERB,c_id:2,c_word:KAne,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:21,p_word:banane,p_pos:VERB,c_id:16,c_word:AmawOra,c_pos:NOUN,gc_id:17,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:29,p_word:bacA,p_pos:VERB,c_id:27,c_word:rogoM,c_pos:NOUN,gc_id:28,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:najara weja banI rahe, isake lie Apako cAhie kI apane AhAra meM Apa harI sabjiyAz SAmila kareM।",filename:2.105,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:cAhie,p_pos:VERB,c_id:6,c_word:isake,c_pos:PRON,gc_id:7,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:najara weja banI rahe, isake lie Apako cAhie kI apane AhAra meM Apa harI sabjiyAz SAmila kareM।",filename:2.105,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:18,p_word:kareM,p_pos:VERB,c_id:12,c_word:AhAra,c_pos:NOUN,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:isameM lyUtina, jIjenaWina jEse xo ahama wawva howe hEM, jo najara ko weja banAe raKane ke lie jimmexAra howe hEM।",filename:2.107,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:howe,p_pos:VERB,c_id:1,c_word:isameM,c_pos:PRON,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:isameM lyUtina, jIjenaWina jEse xo ahama wawva howe hEM, jo najara ko weja banAe raKane ke lie jimmexAra howe hEM।",filename:2.107,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:howe,p_pos:VERB,c_id:2,c_word:lyUtina,c_pos:NOUN,gc_id:5,gc_word:jEse,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.108,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:huA,p_pos:VERB,c_id:9,c_word:aXyayana,c_pos:NOUN,gc_id:10,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.108,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:22,p_word:bacAwe,p_pos:VERB,c_id:20,c_word:aMXepana,c_pos:NOUN,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.109,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:huA,p_pos:VERB,c_id:9,c_word:aXyayana,c_pos:NOUN,gc_id:10,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.109,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:22,p_word:bacAwe,p_pos:VERB,c_id:20,c_word:aMXepana,c_pos:NOUN,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase sAzsoM se baxabU Ane lagawI hE।,filename:2.11,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:Ane,p_pos:VERB,c_id:1,c_word:isase,c_pos:PRON,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase sAzsoM se baxabU Ane lagawI hE।,filename:2.11,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:Ane,p_pos:VERB,c_id:2,c_word:sAzsoM,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:nASwe meM roja xo yA wIna aMde jarUra KAez।,filename:2.110,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:KAez,p_pos:VERB,c_id:1,c_word:nASwe,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:nASwe meM roja xo yA wIna aMde jarUra KAez।,filename:2.110,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:KAez,p_pos:VERB,c_id:3,c_word:roja,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:bilabErI yA blEkabErI eMWosAinina aMXepana yA mowiyAbiMxa se bacAwI hE।,filename:2.111,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:bacAwI,p_pos:VERB,c_id:5,c_word:aMXepana,c_pos:NOUN,gc_id:8,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:SoXa meM yaha BI pAyA gayA hE ki yaha AzKoM meM KUna Ora poRaka wawva pahuzcAne vAlI koSikAoM ko majabUwa banAwI hEM।,filename:2.112,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:pAyA,p_pos:VERB,c_id:1,c_word:SoXa,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:SoXa meM yaha BI pAyA gayA hE ki yaha AzKoM meM KUna Ora poRaka wawva pahuzcAne vAlI koSikAoM ko majabUwa banAwI hEM।,filename:2.112,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:16,p_word:pahuzcAne,p_pos:VERB,c_id:10,c_word:AzKoM,c_pos:NOUN,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:isalie nASwe yA PrUta salAxa ke sAWa Apa bilabErI yA blEkabErI BI KA sakawe hEM।,filename:2.113,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:KA,p_pos:VERB,c_id:1,c_word:isalie,c_pos:PRON,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:isalie nASwe yA PrUta salAxa ke sAWa Apa bilabErI yA blEkabErI BI KA sakawe hEM।,filename:2.113,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:KA,p_pos:VERB,c_id:2,c_word:nASwe,c_pos:NOUN,gc_id:7,gc_word:sAWa,gc_pos:ADP,gc_rel:case
"sentence:maCalI KAne se na kevala ApakI wvacA, bAla, ximAga svasWa rahawA balki najara BI weja howI hE।",filename:2.115,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:rahawA,p_pos:VERB,c_id:2,c_word:KAne,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:maCalI KAne se na kevala ApakI wvacA, bAla, ximAga svasWa rahawA balki najara BI weja howI hE।",filename:2.115,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:rahawA,p_pos:VERB,c_id:4,c_word:na,c_pos:PART,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:maCalI meM pAyA jAne vAlA omagA-3 PEta AzKoM ko glUkomA Ora buDZApe meM najara kamajora hone kA KawarA kama karawA hE।,filename:2.116,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:3,p_word:pAyA,p_pos:VERB,c_id:1,c_word:maCalI,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:maCalI meM pAyA jAne vAlA omagA-3 PEta AzKoM ko glUkomA Ora buDZApe meM najara kamajora hone kA KawarA kama karawA hE।,filename:2.116,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:16,p_word:hone,p_pos:VERB,c_id:10,c_word:glUkomA,c_pos:NOUN,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:yahI nahIM, yaha Apako drAya AI siMdroma se bacAwA hE।",filename:2.117,case:3,no_of_sibblings:6,no_of_sibblings_not_comp-or-obl:6,p_id:10,p_word:bacAwA,p_pos:VERB,c_id:8,c_word:siMdroma,c_pos:NOUN,gc_id:9,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:eka anya aXyayana meM bawAyA gayA hE ki drAya AI siMdroma jEse newra samasyA se pareSAna mahilAez haPwe meM pAzca bAra tyUnA maCalI KAkara, isa wakalIPa ko 68 PIsaxI kama kara sakawI hEM।",filename:2.118,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:bawAyA,p_pos:VERB,c_id:3,c_word:aXyayana,c_pos:NOUN,gc_id:4,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:eka anya aXyayana meM bawAyA gayA hE ki drAya AI siMdroma jEse newra samasyA se pareSAna mahilAez haPwe meM pAzca bAra tyUnA maCalI KAkara, isa wakalIPa ko 68 PIsaxI kama kara sakawI hEM।",filename:2.118,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:24,p_word:KAkara,p_pos:VERB,c_id:18,c_word:haPwe,c_pos:NOUN,gc_id:19,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:eka anya aXyayana meM bawAyA gayA hE ki drAya AI siMdroma jEse newra samasyA se pareSAna mahilAez haPwe meM pAzca bAra tyUnA maCalI KAkara, isa wakalIPa ko 68 PIsaxI kama kara sakawI hEM।",filename:2.118,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:24,p_word:KAkara,p_pos:VERB,c_id:21,c_word:bAra,c_pos:NOUN,gc_id:19,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:BArawIya vyaMjanoM meM meve Axi kA iswemAla saxiyoM se howA A rahA hE।,filename:2.119,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:howA,p_pos:VERB,c_id:2,c_word:vyaMjanoM,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:BArawIya vyaMjanoM meM meve Axi kA iswemAla saxiyoM se howA A rahA hE।,filename:2.119,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:howA,p_pos:VERB,c_id:8,c_word:saxiyoM,c_pos:NOUN,gc_id:9,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:lekina kyA Apa jAnawe hEM ki bAxAma, kAjU, aKarota, kiSamiSa Axi yaha sAre meve pORtika hone ke alAvA AzKoM ke lie BI bahuwa PAyaxemaMxa howe hEM।",filename:2.120,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:28,p_word:howe,p_pos:VERB,c_id:22,c_word:AzKoM,c_pos:NOUN,gc_id:24,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:inameM vitAmina I pracura mAwrA meM pAyA jAwA hE, jo na kevala mowiyAbiMxa, kaI prakAra ke aMXepana Ora anya newra rogoM se bacAne ke alAvA parAbEMganI kiraNoM se pahuzca rahe nukasAna se BI AzKoM kI rakRA karawA hE।",filename:2.121,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:7,p_word:pAyA,p_pos:VERB,c_id:1,c_word:inameM,c_pos:PRON,gc_id:24,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:inameM vitAmina I pracura mAwrA meM pAyA jAwA hE, jo na kevala mowiyAbiMxa, kaI prakAra ke aMXepana Ora anya newra rogoM se bacAne ke alAvA parAbEMganI kiraNoM se pahuzca rahe nukasAna se BI AzKoM kI rakRA karawA hE।",filename:2.121,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:7,p_word:pAyA,p_pos:VERB,c_id:5,c_word:mAwrA,c_pos:NOUN,gc_id:6,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:inameM vitAmina I pracura mAwrA meM pAyA jAwA hE, jo na kevala mowiyAbiMxa, kaI prakAra ke aMXepana Ora anya newra rogoM se bacAne ke alAvA parAbEMganI kiraNoM se pahuzca rahe nukasAna se BI AzKoM kI rakRA karawA hE।",filename:2.121,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:25,p_word:bacAne,p_pos:VERB,c_id:14,c_word:mowiyAbiMxa,c_pos:NOUN,gc_id:6,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:inameM vitAmina I pracura mAwrA meM pAyA jAwA hE, jo na kevala mowiyAbiMxa, kaI prakAra ke aMXepana Ora anya newra rogoM se bacAne ke alAvA parAbEMganI kiraNoM se pahuzca rahe nukasAna se BI AzKoM kI rakRA karawA hE।",filename:2.121,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:31,p_word:pahuzca,p_pos:VERB,c_id:29,c_word:kiraNoM,c_pos:NOUN,gc_id:30,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:inameM vitAmina I pracura mAwrA meM pAyA jAwA hE, jo na kevala mowiyAbiMxa, kaI prakAra ke aMXepana Ora anya newra rogoM se bacAne ke alAvA parAbEMganI kiraNoM se pahuzca rahe nukasAna se BI AzKoM kI rakRA karawA hE।",filename:2.121,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:39,p_word:karawA,p_pos:VERB,c_id:33,c_word:nukasAna,c_pos:NOUN,gc_id:34,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:roja nASwe yA KAne ke samaya mITe meM meve kI kawarana buraka ke KAnA SurU kara xeM।,filename:2.122,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:16,p_word:kara,p_pos:VERB,c_id:1,c_word:roja,c_pos:NOUN,gc_id:34,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:roja nASwe yA KAne ke samaya mITe meM meve kI kawarana buraka ke KAnA SurU kara xeM।,filename:2.122,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:16,p_word:kara,p_pos:VERB,c_id:2,c_word:nASwe,c_pos:NOUN,gc_id:6,gc_word:samaya,gc_pos:ADP,gc_rel:case
sentence:roja nASwe yA KAne ke samaya mITe meM meve kI kawarana buraka ke KAnA SurU kara xeM।,filename:2.122,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:16,p_word:kara,p_pos:VERB,c_id:7,c_word:mITe,c_pos:NOUN,gc_id:8,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:bAwa vajana GatAne kI ho yA wvacA kI xeKaBAla kI, KAne meM wAje Pala KAne kI salAha saBI mAmaloM meM xI jAwI hE।",filename:2.123,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:16,p_word:KAne,p_pos:VERB,c_id:12,c_word:KAne,c_pos:NOUN,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:bAwa vajana GatAne kI ho yA wvacA kI xeKaBAla kI, KAne meM wAje Pala KAne kI salAha saBI mAmaloM meM xI jAwI hE।",filename:2.123,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:22,p_word:xI,p_pos:VERB,c_id:20,c_word:mAmaloM,c_pos:NOUN,gc_id:21,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:wo BalA, AzKoM ke lie kyoM inheM CodZA jAe।",filename:2.124,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:CodZA,p_pos:VERB,c_id:2,c_word:BalA,c_pos:NOUN,gc_id:1,gc_word:wo,gc_pos:SCONJ,gc_rel:mark
"sentence:wo BalA, AzKoM ke lie kyoM inheM CodZA jAe।",filename:2.124,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:CodZA,p_pos:VERB,c_id:4,c_word:AzKoM,c_pos:NOUN,gc_id:6,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:wo BalA, AzKoM ke lie kyoM inheM CodZA jAe।",filename:2.124,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:CodZA,p_pos:VERB,c_id:7,c_word:kyoM,c_pos:PRON,gc_id:6,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:vitAmina-sI se BarapUra AhAra lene se glUkomA, mowiyAbiMxa Ora aMXepana kA KawarA kAPI haxa waka kama kiyA jA sakawA hE।",filename:2.125,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:5,p_word:lene,p_pos:VERB,c_id:1,c_word:vitAmina-sI,c_pos:NOUN,gc_id:2,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:vitAmina-sI se BarapUra AhAra lene se glUkomA, mowiyAbiMxa Ora aMXepana kA KawarA kAPI haxa waka kama kiyA jA sakawA hE।",filename:2.125,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:4,p_id:18,p_word:kiyA,p_pos:VERB,c_id:15,c_word:haxa,c_pos:NOUN,gc_id:16,gc_word:waka,gc_pos:ADP,gc_rel:case
sentence:AzKoM ko svasWa banAe raKane ke lie AhAra meM Pala sabjiyAz SAmila karanA kAPI hE।,filename:2.126,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:1,p_id:13,p_word:karanA,p_pos:VERB,c_id:8,c_word:AhAra,c_pos:NOUN,gc_id:9,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:inhI cIjoM ko apane AhAra meM SAmila kara Apa AzKoM ko kamajora hone se bacA sakawe hEM।,filename:2.127,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:1,p_id:8,p_word:kara,p_pos:VERB,c_id:5,c_word:AhAra,c_pos:NOUN,gc_id:6,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:inhI cIjoM ko apane AhAra meM SAmila kara Apa AzKoM ko kamajora hone se bacA sakawe hEM।,filename:2.127,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:15,p_word:bacA,p_pos:VERB,c_id:13,c_word:hone,c_pos:VERB,gc_id:14,gc_word:se,gc_pos:ADP,gc_rel:mark
"sentence:isake alAvA xUXa pInA, gAjara KAnA BI PAyaxemaMxa sAbiwa howA hE।",filename:2.128,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:4,p_word:pInA,p_pos:VERB,c_id:1,c_word:isake,c_pos:PRON,gc_id:2,gc_word:alAvA,gc_pos:ADP,gc_rel:case
